"filename", "language", "Dotenv", "JSON", "JavaScript", "HTML", "PostCSS", "Markdown", "JavaScript JSX", "SVG", "TypeScript", "comment", "blank", "total"
"d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 3, 16, 148
"d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.module.css", "PostCSS", 0, 0, 0, 0, 178, 0, 0, 0, 0, 5, 26, 209
"d:\work2026\floor\src\components\SearchTables\SearchTables.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\work2026\floor\src\components\SkeletonLoader\SkeletonLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 4, 23
"d:\work2026\floor\src\components\SkeletonLoader\SkeletonLoader.module.css", "PostCSS", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 6, 46
"d:\work2026\floor\src\components\StaticCompanyInfo\StaticCompanyInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
"d:\work2026\floor\src\components\StaticCompanyInfo\StaticCompanyInfo.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\work2026\floor\src\components\StatsCard\StatsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 9, 94
"d:\work2026\floor\src\components\StatsCard\StatsCard.module.css", "PostCSS", 0, 0, 0, 0, 142, 0, 0, 0, 0, 2, 19, 163
"d:\work2026\floor\src\components\StatsPanel\StatsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 5, 44
"d:\work2026\floor\src\components\StatsPanel\StatsPanel.module.css", "PostCSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 1, 34
"d:\work2026\floor\src\components\ThemeToggleButton\ThemeToggleButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
