Date : 2026-08-23 08:27:08
Directory : d:\work2026\floor
Total : 144 files,  23518 codes, 491 comments, 2200 blanks, all 26209 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\work2026\floor\src\components\NewCompanyTablePage\NewInvoiceForm.module.css         | PostCSS        |          0 |          0 |          1 |          1 |
| d:\work2026\floor\src\components\PeopleList\PeopleList.jsx                             | JavaScript JSX |        151 |          1 |         10 |        162 |
| d:\work2026\floor\src\components\PeopleList\PeopleList.module.css                      | PostCSS        |        141 |          3 |         23 |        167 |
| d:\work2026\floor\src\components\PeopleSection\PeopleSection.jsx                       | JavaScript JSX |        166 |          0 |         20 |        186 |
| d:\work2026\floor\src\components\PeopleSection\PeopleSection.module.css                | PostCSS        |        107 |          2 |         18 |        127 |
| d:\work2026\floor\src\components\PersonDetailsModal\PersonDetailsModal.jsx             | JavaScript JSX |        140 |          3 |         16 |        159 |
| d:\work2026\floor\src\components\PersonDetailsModal\PersonDetailsModal.module.css      | PostCSS        |        161 |          1 |         26 |        188 |
| d:\work2026\floor\src\components\PersonPicker\PersonPicker.jsx                         | JavaScript JSX |        111 |          1 |         13 |        125 |
| d:\work2026\floor\src\components\PersonPicker\PersonPicker.module.css                  | PostCSS        |        119 |          1 |         14 |        134 |
| d:\work2026\floor\src\components\PersonStats\PersonStats.jsx                           | JavaScript JSX |         34 |          1 |          4 |         39 |
| d:\work2026\floor\src\components\PersonStats\PersonStats.module.css                    | PostCSS        |         56 |          1 |         11 |         68 |
| d:\work2026\floor\src\components\PhotoUploader\PhotoUploader.jsx                       | JavaScript JSX |        100 |          3 |         18 |        121 |
| d:\work2026\floor\src\components\PhotoUploader\PhotoUploader.module.css                | PostCSS        |         64 |          0 |          9 |         73 |
| d:\work2026\floor\src\components\ProtectedRoute\AdminRoute.jsx                         | JavaScript JSX |         29 |          4 |          7 |         40 |
| d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.jsx                       | JavaScript JSX |        129 |          3 |         16 |        148 |
| d:\work2026\floor\src\components\ReminderPanel\ReminderPanel.module.css                | PostCSS        |        178 |          5 |         26 |        209 |
| d:\work2026\floor\src\components\SearchTables\SearchTables.jsx                         | JavaScript JSX |          0 |          0 |          1 |          1 |
| d:\work2026\floor\src\components\SkeletonLoader\SkeletonLoader.jsx                     | JavaScript JSX |         18 |          1 |          4 |         23 |
| d:\work2026\floor\src\components\SkeletonLoader\SkeletonLoader.module.css              | PostCSS        |         39 |          1 |          6 |         46 |
| d:\work2026\floor\src\components\StaticCompanyInfo\StaticCompanyInfo.jsx               | JavaScript JSX |         14 |          1 |          2 |         17 |
| d:\work2026\floor\src\components\StaticCompanyInfo\StaticCompanyInfo.module.css        | PostCSS        |          0 |          0 |          1 |          1 |
| d:\work2026\floor\src\components\StatsCard\StatsCard.jsx                               | JavaScript JSX |         84 |          1 |          9 |         94 |
| d:\work2026\floor\src\components\StatsCard\StatsCard.module.css                        | PostCSS        |        142 |          2 |         19 |        163 |
| d:\work2026\floor\src\components\StatsPanel\StatsPanel.jsx                             | JavaScript JSX |         38 |          1 |          5 |         44 |
| d:\work2026\floor\src\components\StatsPanel\StatsPanel.module.css                      | PostCSS        |         32 |          1 |          1 |         34 |
| d:\work2026\floor\src\components\ThemeToggleButton\ThemeToggleButton.jsx               | JavaScript JSX |         15 |          1 |          3 |         19 |
| d:\work2026\floor\src\components\ThemeToggleButton\ThemeToggleButton.module.css        | PostCSS        |         17 |          1 |          2 |         20 |
| d:\work2026\floor\src\components\WorkOrdersManager\WorkOrdersManager.jsx               | JavaScript JSX |        246 |          1 |         25 |        272 |
| d:\work2026\floor\src\components\WorkOrdersManager\WorkOrdersManager.module.css        | PostCSS        |         67 |          0 |         12 |         79 |
| d:\work2026\floor\src\components\WorkTypesManager\WorkTypesManager.jsx                 | JavaScript JSX |        260 |          3 |         29 |        292 |
| d:\work2026\floor\src\components\WorkTypesManager\WorkTypesManager.module.css          | PostCSS        |        116 |          5 |         21 |        142 |
| d:\work2026\floor\src\components\WorkerProfileModal\WorkerProfileModal.jsx             | JavaScript JSX |        248 |         11 |         29 |        288 |
| d:\work2026\floor\src\components\WorkerProfileModal\WorkerProfileModal.module.css      | PostCSS        |        389 |          8 |         53 |        450 |
| d:\work2026\floor\src\contexts\AuthContext.jsx                                         | JavaScript JSX |         90 |          4 |         16 |        110 |
| d:\work2026\floor\src\contexts\ThemeContext.jsx                                        | JavaScript JSX |         20 |          0 |          7 |         27 |
| d:\work2026\floor\src\hooks\useAddresses.jsx                                           | JavaScript JSX |         40 |          0 |          8 |         48 |
| d:\work2026\floor\src\hooks\useAdminLists.jsx                                          | JavaScript JSX |         43 |          0 |          7 |         50 |
| d:\work2026\floor\src\hooks\useAnalytics.jsx                                           | JavaScript JSX |         71 |          3 |          6 |         80 |
| d:\work2026\floor\src\hooks\useCompanies.jsx                                           | JavaScript JSX |         23 |          2 |          7 |         32 |
| d:\work2026\floor\src\hooks\usePeople.jsx                                              | JavaScript JSX |         35 |          3 |         11 |         49 |
| d:\work2026\floor\src\layouts\AuthLayout.jsx                                           | JavaScript JSX |         47 |          4 |          6 |         57 |
| d:\work2026\floor\src\layouts\AuthLayout.module.css                                    | PostCSS        |         13 |          0 |          3 |         16 |
| d:\work2026\floor\src\main.jsx                                                         | JavaScript JSX |          9 |          1 |          3 |         13 |
